time,ConcentrationSystem
0,0
1,2.02472
2,3.63739
3,6.51734
4,13.3953
5,16.5557
6,27.1717
7,30.9316
8,47.7268
9,60.1406
10,66.8027
11,86.7795
12,111.957
13,133.89
14,163.653
15,222.096
16,241.312
17,295.552
18,333.941
19,392.513
20,527.998
21,567.01
22,729.152
23,794.415
24,913.829
25,1198.85
26,1164.85
27,1601.83
28,1680
29,2103.32
30,2193.62
31,2738.94
32,3221.47
33,3976.03
34,4432.13
35,4866.41
36,5814.1
37,6791.48
38,8061.2
39,9563.49
40,11574.5
41,12530.8
42,15980.2
43,17418.5
44,19556.6
45,24085.5
46,28614.1
47,30419.8
48,38854.3
49,44769.8
50,47668.3
51,64997.7
52,66546.5
53,84789.8
54,94109
55,104293
56,122404
57,146871
58,168592
59,196364
60,231251
61,283967
62,307355
63,384876
64,424847
65,489632
66,560232
67,702796
68,728806
69,923928
70,1.01959e+06
71,1.32781e+06
72,1.43307e+06
73,1.71276e+06
74,1.88926e+06
75,2.23997e+06
76,2.7685e+06
77,3.23979e+06
78,3.32053e+06
79,4.20364e+06
80,4.74069e+06
81,5.67172e+06
82,5.98601e+06
83,7.56546e+06
84,9.30035e+06
85,9.66126e+06
86,1.26862e+07
87,1.34066e+07
88,1.5359e+07
89,1.96588e+07
90,2.07672e+07
91,2.70435e+07
92,2.75777e+07
93,3.7909e+07
94,3.85873e+07
95,4.85772e+07
96,5.71973e+07
97,6.56819e+07
98,7.49871e+07
99,8.73477e+07
100,9.81507e+07
101,1.14726e+08
102,1.33697e+08
103,1.59869e+08
104,1.90838e+08
105,2.16692e+08
106,2.49671e+08
107,2.73728e+08
108,3.43524e+08
109,4.07469e+08
110,4.22425e+08
111,4.88285e+08
112,6.04145e+08
113,7.55274e+08
114,8.43606e+08
115,1.01983e+09
116,1.14183e+09
117,1.33674e+09
118,1.61419e+09
119,1.77484e+09
120,2.01184e+09
121,2.21435e+09
122,2.9006e+09
123,3.38247e+09
124,3.58938e+09
125,4.45579e+09
126,4.8298e+09
127,6.20147e+09
128,7.38484e+09
129,7.99241e+09
130,9.32858e+09
131,1.19741e+10
132,1.2369e+10
133,1.4078e+10
134,1.666e+10
135,1.91609e+10
136,2.25465e+10
137,2.65796e+10
138,3.42221e+10
139,3.55881e+10
140,4.51048e+10
141,5.26864e+10
142,5.45972e+10
143,6.7206e+10
144,7.8435e+10
145,9.53971e+10
146,1.00567e+11
147,1.19817e+11
148,1.46778e+11
149,1.71928e+11
150,2.0093e+11
151,2.19302e+11
152,2.58757e+11
153,3.0206e+11
154,3.55929e+11
155,3.97266e+11
156,5.18933e+11
157,6.184e+11
158,6.17935e+11
159,7.25815e+11
160,8.71192e+11
161,1.03661e+12
162,1.21126e+12
163,1.39431e+12
164,1.72439e+12
165,1.85334e+12
166,2.08598e+12
167,2.47593e+12
168,3.12782e+12
169,3.75576e+12
170,3.84588e+12
171,4.83298e+12
172,5.28737e+12
173,6.01487e+12
174,7.2332e+12
175,8.30273e+12
176,1.07985e+13
177,1.12019e+13
178,1.28206e+13
179,1.56093e+13
180,1.96981e+13
181,2.13225e+13
182,2.34796e+13
183,2.9974e+13
184,3.62923e+13
185,4.10267e+13
186,4.47445e+13
187,5.64191e+13
188,5.85034e+13
189,6.91716e+13
190,8.20539e+13
191,9.81004e+13
192,1.24524e+14
193,1.30925e+14
194,1.62924e+14
195,1.66178e+14
196,2.22893e+14
197,2.66024e+14
198,2.9165e+14
199,3.36478e+14
200,3.64049e+14
201,4.11821e+14
202,5.3648e+14
203,5.72782e+14
204,7.36871e+14
205,8.44095e+14
206,9.57748e+14
207,1.17103e+15
208,1.33515e+15
209,1.44881e+15
210,1.81837e+15
211,2.0907e+15
212,2.36697e+15
213,2.93197e+15
214,3.37995e+15
215,3.65634e+15
216,4.69353e+15
217,5.22378e+15
218,6.04131e+15
219,7.07224e+15
220,7.48878e+15
221,9.56605e+15
222,1.18793e+16
223,1.39069e+16
224,1.43302e+16
225,1.69401e+16
226,1.97229e+16
227,2.17112e+16
228,2.82399e+16
229,3.01646e+16
230,4.03913e+16
231,3.95785e+16
232,4.72232e+16
233,5.9683e+16
234,6.45882e+16
235,7.47609e+16
236,8.65996e+16
237,1.11583e+17
238,1.25403e+17
239,1.3836e+17
240,1.65056e+17
241,2.09317e+17
242,2.12664e+17
243,2.92956e+17
244,3.09182e+17
245,3.75487e+17
246,4.23911e+17
247,4.84782e+17
248,5.37978e+17
249,6.3536e+17
250,7.92652e+17
251,9.37859e+17
252,1.03649e+18
253,1.17193e+18
254,1.43303e+18
255,1.66519e+18
256,1.79285e+18
257,2.1419e+18
258,2.55494e+18
259,3.11947e+18
260,3.24421e+18
261,3.93824e+18
262,4.72649e+18
263,5.06008e+18
264,6.13189e+18
265,7.53284e+18
266,8.68938e+18
267,1.0092e+19
268,1.22122e+19
269,1.45257e+19
270,1.70498e+19
271,1.73827e+19
272,2.01574e+19
273,2.72144e+19
274,2.89969e+19
275,3.40496e+19
276,3.90859e+19
277,4.39954e+19
278,5.29221e+19
279,6.17333e+19
280,8.06226e+19
281,8.0826e+19
282,9.55013e+19
283,1.07587e+20
284,1.33449e+20
285,1.53005e+20
286,1.6811e+20
287,2.09067e+20
288,2.38062e+20
289,2.75548e+20
290,3.31514e+20
291,3.64088e+20
292,4.34742e+20
293,5.61132e+20
294,6.17203e+20
295,7.37707e+20
296,8.27036e+20
297,9.74377e+20
298,1.14241e+21
299,1.26652e+21
300,1.5751e+21
